fold,train_start,train_end_purged,test_start,test_end,embargo_days,strike_otm_pct,dte_days,tp_pct,train_profit,train_profit_on_premium_pct,test_profit,test_premium,test_profit_on_premium_pct,test_trades,test_win_rate_pct
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,7.5,56,500.0,47904.4632108366,4.178107481159477,96602.86035511475,233116.69066144558,41.439701327697165,520,39.61538461538461
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,7.5,56,700.0,76011.00306016396,6.629489597626173,100885.20403301145,233116.69066144558,43.27669706821921,520,38.46153846153847
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,7.5,84,300.0,276154.06428140646,20.935310462632724,138661.25762162238,247543.96700045915,56.0147998360894,569,50.790861159929705
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,7.5,84,500.0,331581.13905040716,25.137251221115037,134871.21459441213,247543.96700045915,54.48374130409002,569,47.27592267135325
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,7.5,84,700.0,315839.7508763103,23.94389254506197,119266.52693384746,247543.96700045915,48.17993683264608,569,46.22144112478031
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,7.5,112,300.0,470019.84128527134,33.24540738063451,170210.70362998985,245916.91206560138,69.21472061449114,578,54.325259515570934
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,7.5,112,500.0,557865.201356315,39.45887865468622,184018.04232787428,245916.91206560138,74.82935629851484,578,52.7681660899654
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,7.5,112,700.0,519630.13701474044,36.754439014894665,186011.49887693813,245916.91206560138,75.63997828149259,578,52.7681660899654
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,10.0,56,300.0,-86407.4294673018,-7.719267954623714,92439.64456822224,233685.65133182934,39.557261663857844,515,39.6116504854369
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,10.0,56,500.0,-61302.302575763155,-5.4789151361294195,100436.78205317183,231937.5732815487,43.30336850220113,511,35.0293542074364
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,10.0,56,700.0,-35793.26548057508,-3.1990358562902657,109405.23671015546,231532.83911480877,47.25257856657878,510,33.72549019607843
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,10.0,84,300.0,180230.39347921888,14.011538114215494,122737.7183079893,238057.19550067687,51.55807958245073,542,46.678966789667896
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,10.0,84,500.0,232590.9788612395,18.082174168435778,131052.19924769383,238057.19550067687,55.05071962730117,542,42.25092250922509
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,10.0,84,700.0,228996.04960292028,17.802695844339148,91017.75925789267,238057.19550067687,38.23356780561328,542,39.66789667896679
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,10.0,112,300.0,352923.4657546857,25.4411141375924,153770.3052665991,245439.9447719118,62.65088814679224,564,51.41843971631206
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,10.0,112,500.0,445467.00501279935,32.11227934313576,170308.8088182093,245439.9447719118,69.38919782453418,564,49.46808510638298
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,10.0,112,700.0,451632.02304789855,32.556695605329836,175770.01471627003,245439.9447719118,71.61426591731583,564,49.29078014184397
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,12.5,56,300.0,-161085.47146229964,-14.987297382223433,63926.93691232641,233794.12862140773,27.343260196172796,509,37.13163064833006
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,12.5,56,500.0,-160510.66840813225,-14.96150301128367,70547.21315992868,231986.91671943566,30.409996459088372,505,32.07920792079208
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,12.5,56,700.0,-154462.86629718653,-14.39777593699047,73560.46841086965,231885.68693959952,31.722729152330274,505,29.9009900990099
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,12.5,84,300.0,34867.4524389949,2.8416037435556776,111626.54411810759,237084.15648214088,47.08308888051582,529,43.10018903591683
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,12.5,84,500.0,75282.10177520012,6.13528913824238,112065.50354714232,236611.61351185312,47.362638665041,528,36.93181818181818
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,12.5,84,700.0,96874.49958649819,7.895011577393335,96421.31469121804,236611.61351185312,40.75088000124211,528,34.659090909090914
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,12.5,112,300.0,280999.9963447738,20.486222941171263,130081.78243171368,244125.75980823074,53.28474247613093,554,46.02888086642599
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,12.5,112,500.0,384805.2634870101,28.054115726957928,154870.74078019863,244125.75980823074,63.43891808134258,554,43.682310469314075
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,12.5,112,700.0,432568.32628448016,31.536267917528,161802.75686484604,244125.75980823074,66.27844476221917,554,43.501805054151625
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,7.5,56,300.0,146797.94541706223,10.414472290320738,-3275.063534298055,180753.33073174133,-1.8118966444710358,421,29.928741092636578
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,7.5,56,500.0,194094.67297930113,13.782958728521363,-5765.105291213216,180753.33073174133,-3.189487722231406,421,27.315914489311165
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,7.5,56,700.0,238222.8892953934,16.91657066599491,3886.7120026626253,180753.33073174133,2.1502851355093155,421,27.315914489311165
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,7.5,84,300.0,475848.29986569803,29.621770678401933,-49228.59411264003,182519.55928982116,-26.97168144838131,439,18.906605922551254
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,7.5,84,500.0,569455.2104201012,35.448842959922736,-39661.01051716109,182519.55928982116,-21.729731690938248,439,17.312072892938495
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,7.5,84,700.0,549222.5720327682,34.18935212072512,-32031.05712048021,182519.55928982116,-17.54938333464765,439,17.312072892938495
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,7.5,112,300.0,676554.0818041809,39.747882118118696,-33476.99170764226,187962.7953154986,-17.81043511906204,465,21.935483870967744
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,7.5,112,500.0,804265.1949450262,47.25097227280242,-17904.385789090655,187962.7953154986,-9.525494531531015,465,20.21505376344086
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,7.5,112,700.0,768421.4741733506,45.14513620407601,-20841.107266454637,187962.7953154986,-11.087889617449294,465,20.0
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,10.0,56,300.0,18918.24451110959,1.371266470530477,-14640.87949322532,176629.93300516042,-8.289013783862769,401,26.683291770573565
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,10.0,56,500.0,55564.46568197361,4.0380305873250855,-16574.777267883954,176629.93300516042,-9.383900557443853,401,23.940149625935163
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,10.0,56,700.0,92562.13018364966,6.728737116771612,-5162.064024995161,176629.93300516042,-2.9225307042631026,401,23.940149625935163
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,10.0,84,300.0,361062.0953237788,23.096483705105765,-47423.75544986444,183679.93672638724,-25.818691085737726,437,18.993135011441648
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,10.0,84,500.0,455227.8174614751,29.12009320358414,-41574.29848154829,183679.93672638724,-22.634098869207513,437,16.475972540045767
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,10.0,84,700.0,450562.4193178411,28.82165619344702,-30267.956651358763,183679.93672638724,-16.478640613017213,437,16.475972540045767
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,10.0,112,300.0,547168.6092558624,32.65842776253689,-32345.471687926467,190691.47713434725,-16.96220102440038,462,21.645021645021643
